temp,time_point,rep,clone,infect
15,1,1,12,0
15,1,1,11,0
15,1,1,10,0
15,1,1,9,0
15,1,1,8,0
15,1,1,7,0
15,1,1,6,0
15,1,1,5,0
15,1,1,4,0
15,1,1,3,0
15,1,1,2,0
15,1,1,1,0
15,1,2,12,0
15,1,2,11,0
15,1,2,10,0
15,1,2,9,0
15,1,2,8,0
15,1,2,7,0
15,1,2,6,0
15,1,2,5,0
15,1,2,4,0
15,1,2,3,0
15,1,2,2,0
15,1,2,1,0
15,1,3,12,0
15,1,3,11,0
15,1,3,10,0
15,1,3,9,0
15,1,3,8,0
15,1,3,7,0
15,1,3,6,0
15,1,3,5,0
15,1,3,4,0
15,1,3,3,0
15,1,3,2,0
15,1,3,1,0
15,1,4,12,0
15,1,4,11,0
15,1,4,10,0
15,1,4,9,0
15,1,4,8,0
15,1,4,7,0
15,1,4,6,0
15,1,4,5,0
15,1,4,4,0
15,1,4,3,0
15,1,4,2,0
15,1,4,1,0
15,1,5,12,0
15,1,5,11,0
15,1,5,10,0
15,1,5,9,0
15,1,5,8,0
15,1,5,7,0
15,1,5,6,0
15,1,5,5,0
15,1,5,4,0
15,1,5,3,0
15,1,5,2,0
15,1,5,1,0
15,1,6,12,0
15,1,6,11,0
15,1,6,10,0
15,1,6,9,0
15,1,6,8,0
15,1,6,7,0
15,1,6,6,0
15,1,6,5,0
15,1,6,4,0
15,1,6,3,0
15,1,6,2,0
15,1,6,1,0
20,1,1,12,0
20,1,1,11,0
20,1,1,10,0
20,1,1,9,0
20,1,1,8,0
20,1,1,7,0
20,1,1,6,0
20,1,1,5,0
20,1,1,4,0
20,1,1,3,0
20,1,1,2,0
20,1,1,1,0
20,1,2,12,0
20,1,2,11,0
20,1,2,10,0
20,1,2,9,0
20,1,2,8,0
20,1,2,7,0
20,1,2,6,0
20,1,2,5,0
20,1,2,4,0
20,1,2,3,0
20,1,2,2,0
20,1,2,1,0
20,1,3,12,0
20,1,3,11,0
20,1,3,10,0
20,1,3,9,0
20,1,3,8,0
20,1,3,7,0
20,1,3,6,0
20,1,3,5,0
20,1,3,4,0
20,1,3,3,0
20,1,3,2,0
20,1,3,1,0
20,1,4,12,0
20,1,4,11,0
20,1,4,10,0
20,1,4,9,0
20,1,4,8,0
20,1,4,7,0
20,1,4,6,0
20,1,4,5,0
20,1,4,4,0
20,1,4,3,0
20,1,4,2,0
20,1,4,1,0
20,1,5,12,0
20,1,5,11,0
20,1,5,10,0
20,1,5,9,0
20,1,5,8,0
20,1,5,7,0
20,1,5,6,0
20,1,5,5,0
20,1,5,4,0
20,1,5,3,0
20,1,5,2,0
20,1,5,1,0
20,1,6,12,0
20,1,6,11,0
20,1,6,10,0
20,1,6,9,0
20,1,6,8,0
20,1,6,7,0
20,1,6,6,0
20,1,6,5,0
20,1,6,4,0
20,1,6,3,0
20,1,6,2,0
20,1,6,1,0
25,1,1,12,0
25,1,1,11,-
25,1,1,10,0
25,1,1,9,-
25,1,1,8,-
25,1,1,7,0
25,1,1,6,0
25,1,1,5,0
25,1,1,4,0
25,1,1,3,0
25,1,1,2,0
25,1,1,1,0
25,1,2,12,0
25,1,2,11,0
25,1,2,10,0
25,1,2,9,0
25,1,2,8,0
25,1,2,7,0
25,1,2,6,0
25,1,2,5,0
25,1,2,4,0
25,1,2,3,0
25,1,2,2,0
25,1,2,1,0
25,1,3,12,0
25,1,3,11,0
25,1,3,10,0
25,1,3,9,0
25,1,3,8,0
25,1,3,7,0
25,1,3,6,0
25,1,3,5,0
25,1,3,4,0
25,1,3,3,0
25,1,3,2,0
25,1,3,1,0
25,1,4,12,0
25,1,4,11,0
25,1,4,10,0
25,1,4,9,0
25,1,4,8,0
25,1,4,7,0
25,1,4,6,0
25,1,4,5,0
25,1,4,4,0
25,1,4,3,0
25,1,4,2,0
25,1,4,1,0
25,1,5,12,0
25,1,5,11,0
25,1,5,10,0
25,1,5,9,-
25,1,5,8,0
25,1,5,7,0
25,1,5,6,0
25,1,5,5,0
25,1,5,4,0
25,1,5,3,0
25,1,5,2,0
25,1,5,1,0
25,1,6,12,0
25,1,6,11,0
25,1,6,10,0
25,1,6,9,0
25,1,6,8,-
25,1,6,7,0
25,1,6,6,0
25,1,6,5,0
25,1,6,4,0
25,1,6,3,0
25,1,6,2,0
25,1,6,1,0
28,1,1,12,0
28,1,1,11,0
28,1,1,10,0
28,1,1,9,0
28,1,1,8,0
28,1,1,7,0
28,1,1,6,0
28,1,1,5,0
28,1,1,4,0
28,1,1,3,0
28,1,1,2,0
28,1,1,1,0
28,1,2,12,0
28,1,2,11,0
28,1,2,10,0
28,1,2,9,0
28,1,2,8,0
28,1,2,7,0
28,1,2,6,0
28,1,2,5,0
28,1,2,4,0
28,1,2,3,0
28,1,2,2,0
28,1,2,1,0
28,1,3,12,0
28,1,3,11,0
28,1,3,10,0
28,1,3,9,0
28,1,3,8,0
28,1,3,7,0
28,1,3,6,0
28,1,3,5,0
28,1,3,4,0
28,1,3,3,0
28,1,3,2,0
28,1,3,1,0
28,1,4,12,0
28,1,4,11,0
28,1,4,10,0
28,1,4,9,0
28,1,4,8,0
28,1,4,7,0
28,1,4,6,0
28,1,4,5,0
28,1,4,4,0
28,1,4,3,0
28,1,4,2,0
28,1,4,1,0
28,1,5,12,0
28,1,5,11,0
28,1,5,10,0
28,1,5,9,0
28,1,5,8,0
28,1,5,7,0
28,1,5,6,0
28,1,5,5,0
28,1,5,4,0
28,1,5,3,0
28,1,5,2,0
28,1,5,1,0
28,1,6,12,0
28,1,6,11,0
28,1,6,10,0
28,1,6,9,0
28,1,6,8,0
28,1,6,7,0
28,1,6,6,0
28,1,6,5,0
28,1,6,4,0
28,1,6,3,0
28,1,6,2,0
28,1,6,1,0
30,1,1,12,1
30,1,1,11,1
30,1,1,10,1
30,1,1,9,1
30,1,1,8,1
30,1,1,7,1
30,1,1,6,1
30,1,1,5,1
30,1,1,4,1
30,1,1,3,1
30,1,1,2,1
30,1,1,1,1
30,1,2,12,1
30,1,2,11,1
30,1,2,10,1
30,1,2,9,1
30,1,2,8,1
30,1,2,7,1
30,1,2,6,1
30,1,2,5,1
30,1,2,4,1
30,1,2,3,1
30,1,2,2,1
30,1,2,1,1
30,1,3,12,1
30,1,3,11,1
30,1,3,10,1
30,1,3,9,1
30,1,3,8,1
30,1,3,7,1
30,1,3,6,1
30,1,3,5,1
30,1,3,4,1
30,1,3,3,1
30,1,3,2,1
30,1,3,1,1
30,1,4,12,1
30,1,4,11,1
30,1,4,10,1
30,1,4,9,1
30,1,4,8,1
30,1,4,7,1
30,1,4,6,1
30,1,4,5,1
30,1,4,4,1
30,1,4,3,1
30,1,4,2,1
30,1,4,1,1
30,1,5,12,1
30,1,5,11,1
30,1,5,10,1
30,1,5,9,1
30,1,5,8,1
30,1,5,7,1
30,1,5,6,1
30,1,5,5,1
30,1,5,4,1
30,1,5,3,1
30,1,5,2,1
30,1,5,1,1
30,1,6,12,1
30,1,6,11,1
30,1,6,10,1
30,1,6,9,1
30,1,6,8,1
30,1,6,7,1
30,1,6,6,1
30,1,6,5,1
30,1,6,4,1
30,1,6,3,1
30,1,6,2,1
30,1,6,1,1
33,1,1,12,1
33,1,1,11,1
33,1,1,10,1
33,1,1,9,1
33,1,1,8,1
33,1,1,7,1
33,1,1,6,1
33,1,1,5,1
33,1,1,4,1
33,1,1,3,1
33,1,1,2,1
33,1,1,1,1
33,1,2,12,1
33,1,2,11,1
33,1,2,10,1
33,1,2,9,1
33,1,2,8,1
33,1,2,7,1
33,1,2,6,1
33,1,2,5,1
33,1,2,4,1
33,1,2,3,1
33,1,2,2,1
33,1,2,1,1
33,1,3,12,1
33,1,3,11,1
33,1,3,10,1
33,1,3,9,1
33,1,3,8,1
33,1,3,7,1
33,1,3,6,1
33,1,3,5,1
33,1,3,4,1
33,1,3,3,1
33,1,3,2,1
33,1,3,1,1
33,1,4,12,1
33,1,4,11,1
33,1,4,10,1
33,1,4,9,1
33,1,4,8,1
33,1,4,7,1
33,1,4,6,1
33,1,4,5,1
33,1,4,4,1
33,1,4,3,1
33,1,4,2,1
33,1,4,1,1
33,1,5,12,1
33,1,5,11,1
33,1,5,10,1
33,1,5,9,1
33,1,5,8,1
33,1,5,7,1
33,1,5,6,1
33,1,5,5,1
33,1,5,4,1
33,1,5,3,1
33,1,5,2,1
33,1,5,1,1
33,1,6,12,1
33,1,6,11,1
33,1,6,10,1
33,1,6,9,1
33,1,6,8,1
33,1,6,7,1
33,1,6,6,1
33,1,6,5,1
33,1,6,4,1
33,1,6,3,1
33,1,6,2,1
33,1,6,1,1
35,1,1,12,1
35,1,1,11,1
35,1,1,10,1
35,1,1,9,1
35,1,1,8,1
35,1,1,7,1
35,1,1,6,1
35,1,1,5,1
35,1,1,4,1
35,1,1,3,1
35,1,1,2,1
35,1,1,1,1
35,1,2,12,1
35,1,2,11,1
35,1,2,10,1
35,1,2,9,1
35,1,2,8,1
35,1,2,7,1
35,1,2,6,1
35,1,2,5,1
35,1,2,4,1
35,1,2,3,1
35,1,2,2,1
35,1,2,1,1
35,1,3,12,1
35,1,3,11,1
35,1,3,10,1
35,1,3,9,1
35,1,3,8,1
35,1,3,7,1
35,1,3,6,1
35,1,3,5,1
35,1,3,4,1
35,1,3,3,1
35,1,3,2,1
35,1,3,1,1
35,1,4,12,1
35,1,4,11,1
35,1,4,10,1
35,1,4,9,1
35,1,4,8,1
35,1,4,7,1
35,1,4,6,1
35,1,4,5,1
35,1,4,4,1
35,1,4,3,1
35,1,4,2,1
35,1,4,1,1
35,1,5,12,1
35,1,5,11,1
35,1,5,10,1
35,1,5,9,1
35,1,5,8,1
35,1,5,7,1
35,1,5,6,1
35,1,5,5,1
35,1,5,4,1
35,1,5,3,1
35,1,5,2,1
35,1,5,1,1
35,1,6,12,1
35,1,6,11,1
35,1,6,10,1
35,1,6,9,1
35,1,6,8,1
35,1,6,7,1
35,1,6,6,1
35,1,6,5,1
35,1,6,4,1
35,1,6,3,1
35,1,6,2,1
35,1,6,1,1
37,1,1,12,1
37,1,1,11,1
37,1,1,10,1
37,1,1,9,1
37,1,1,8,1
37,1,1,7,1
37,1,1,6,1
37,1,1,5,1
37,1,1,4,1
37,1,1,3,1
37,1,1,2,1
37,1,1,1,1
37,1,2,12,1
37,1,2,11,1
37,1,2,10,1
37,1,2,9,1
37,1,2,8,1
37,1,2,7,1
37,1,2,6,1
37,1,2,5,1
37,1,2,4,1
37,1,2,3,1
37,1,2,2,1
37,1,2,1,1
37,1,3,12,1
37,1,3,11,1
37,1,3,10,1
37,1,3,9,1
37,1,3,8,1
37,1,3,7,1
37,1,3,6,1
37,1,3,5,1
37,1,3,4,1
37,1,3,3,1
37,1,3,2,1
37,1,3,1,1
37,1,4,12,1
37,1,4,11,1
37,1,4,10,1
37,1,4,9,1
37,1,4,8,1
37,1,4,7,1
37,1,4,6,1
37,1,4,5,1
37,1,4,4,1
37,1,4,3,1
37,1,4,2,1
37,1,4,1,1
37,1,5,12,1
37,1,5,11,1
37,1,5,10,1
37,1,5,9,1
37,1,5,8,1
37,1,5,7,1
37,1,5,6,1
37,1,5,5,1
37,1,5,4,1
37,1,5,3,1
37,1,5,2,1
37,1,5,1,1
37,1,6,12,1
37,1,6,11,1
37,1,6,10,1
37,1,6,9,1
37,1,6,8,1
